country,director,genre,title,year
" ,Великобритания",,"документальный,, ,музыкальный",4 американских композитора,1983
" ,Россия",,документальный фильм,55,2007
" ,США",,романтическая комедия,50 первых поцелуев,2004
" ,США, ,Грузия",,"военный,  ,боевик",5 дней в августе,2011
" ,Новая Зеландия",,драма,50 оттенков голубого,2005
" ,США",,Драма,50 таблеток,2006
" ,США",,драма,45-й калибр,2006
" ,СССР",,"драма,, ,приключения",49 дней,
" ,США, ,Япония",,"фэнтези,боевик,драма",47 ронинов,2013
" ,Великобритания",,драма,45 лет,2015
" ,США",,"комедия,мюзикл,мелодрама",42-я улица,1933
" ,США,[2],[3]",,"драма,спортивный фильм",42 / Номер 42,
" ,Азербайджан",,драма,40-я дверь,2009
США,,"боевик, драма, криминал.",44 минуты: Бойня в северном Голливуде,2003
США,,кинокомедия,40 дней и 40 ночей,2002
" ,Венгрия",,"исторический фильм, военный, экранизация",39-я бригада,1959
" ,Россия",,"детектив, / ,триллер",40,2007
" ,Республика Корея",,"драма,боевик,военный",38-я параллель,2004
" ,Казахстан",,комедийный фильм,5 причин не влюбиться в казаха,2017
" ,Гонконг",,"боевик,комедия,драма",36 безумных кулаков,
" ,СССР",,Фильм-катастрофа,34-й скорый,
" ,Канада",,"драма,, ,мелодрама", ,1998
" ,Россия",,"комедия,, ,фантастика",32 декабря,2004
" ,США, ,Чили, ,Колумбия",,драма,33,2015
" ,США",,порнофильм,30 Rock: A XXX Parody,
" ,Россия",,"комедия,мелодрама",30 свиданий,2016
" ,Мексика, ,Испания",,"ужасы,, ,мистика",31-й километр,2006
" ,США",,"комедийный, ,фильм ужасов",30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,2012
" ,США",,"триллер, / ,фильм ужасов",30 дней ночи: Тёмные времена,2010
" ,СССР",,"музыкальный фильм, (,мюзикл,), ,фэнтези",31 июня,1978
" ,Швеция",,"фильм ужасов,комедия",30 дней до рассвета,2006
" ,США, ,Новая Зеландия",,"ужасы,драма,триллер",30 дней ночи,2007
" ,США",,независимый кинематограф,30 безумных желаний,
" ,Россия",,"драма,,, ,музыкальный фильм",29 Километр,2012
" ,США",,научная фантастика,27-й день,1957
" ,Великобритания",,"постапокалиптический, ,фильм ужасов,Музыка к фильму",28 дней спустя,2002
" ,Франция, ,Германия, ,США",,"драма,роуд-муви",29 пальм,2003
" ,Россия, ,Чехия, ,Нидерланды",,документальный,27 Секунд памяти,2019
" ,США",,"драма,, ,комедия",28 дней,2000
" ,Великобритания, ,США, ,Испания,[2]",,"постапокалиптический, ,фильм ужасов",28 недель спустя,2007
" ,Грузия, ,Франция, ,Германия, ,Россия",,"комедия,драма,мелодрама",27 украденных поцелуев,2000
" ,США",,романтическая комедия,27 свадеб,2008
" ,США",,"криминальный фильм,драма",25-й час,2002
" ,Уругвай",,Комедийная драма,25 ватт,2001
" ,США",,"комедия,драма",29-я улица,1991
